Business DBA,Business Type,Location 1
BISHOP SPENCER PLACE,RESTAURANT-BAR,"4301 MADISON AVENUE
64111
(39.049579527000446, -94.59696286799965)"
BISTRO 303,RESTAURANT-BAR,"303 WESTPORT ROAD
64111
(39.05378552900049, -94.58942829399967)"
BLANC BURGERS & BOTTLES,RESTAURANT-BAR,"4710 JEFFERSON STREET
64112
(39.04139082400047, -94.59480056399968)"
BLUE BIRD BISTRO,RESTAURANT-BAR,"1700 SUMMIT STREET
64108
(39.09293011000045, -94.59336021099966)"
BLUE GROTTO,RESTAURANT-BAR,"6324 BROOKSIDE PLAZA
64113
(39.013000890000455, -94.59073070299968)"
"BLUE KOI NOODLES, DUMPLINGS, & FINE TEAS",RESTAURANT-BAR,"1803 39TH STREET
64111
(39.057278846000486, -94.60621077199966)"
"BLUE LINE, THE",RESTAURANT-BAR,"529 WALNUT STREET
64106
(39.10825855200045, -94.58150293299968)"
BLUE NILE CAFE,RESTAURANT-BAR,"20 5TH STREET
64106
(39.10856082000049, -94.58163112799969)"
BLUESTEM,RESTAURANT-BAR,"900 WESTPORT ROAD
64111
(39.05066093500045, -94.59692076299967)"
BO LING'S,RESTAURANT-BAR,"4701 JEFFERSON STREET
64112
(39.04231329400045, -94.59461594999965)"
BO LINGS CHINESE RESTAURANT,RESTAURANT-BAR,"20 5TH STREET
64106
(39.10856082000049, -94.58163112799969)"
BO LINGS CHINESE RESTAURANT (north),RESTAURANT-BAR,"8670 PRAIRIE VIEW ROAD
64153
(39.251329927000484, -94.66219376199967)"
BONEFISH GRILL,RESTAURANT-BAR,"6334 LUCERNE
64151
(39.2162418690005, -94.63441652299969)"
BONTERRA CATERING,RESTAURANT-BAR,"320 MCGEE STREET
64116
(39.11912033600049, -94.58261056799967)"
"BOOT, THE",RESTAURANT-BAR,"415 WESTPORT ROAD
64111
(39.05312105900049, -94.59086090999966)"
BRANCATO'S CATERING,RESTAURANT-BAR,"1800 GENESSEE
64102
(39.09305612200046, -94.6048141819997)"
BRASS RAIL BILLIARD HALL,RESTAURANT-BAR,"4940 81ST STREET
64119
(39.24070110600047, -94.52213072399968)"
BRAVO! CUCINA ITALIANA,RESTAURANT-BAR,"7301 87TH STREET
64153
(39.2515668100005, -94.66476817499967)"
"BREWTOP PUB & PATIO, THE",RESTAURANT-BAR,"8614 BOARDWALK AVENUE
64154
(39.252550736000444, -94.65310250399966)"
BRGR KITCHEN & BAR,RESTAURANT-BAR,"11 14TH STREET
64106
(39.097211153000444, -94.58307174999965)"
"BRICK, THE",RESTAURANT-BAR,"1727 MCGEE STREET
64108
(39.09235051200045, -94.58011011599967)"
BRIO TUSCAN  GRILLE,RESTAURANT-BAR,"502 NICHOLS DRIVE
64112
(39.04138045400049, -94.59455051799966)"
BRISTOL BAR & GRILL,RESTAURANT-BAR,"51 14TH STREET
64106
(39.09719741200047, -94.58248535699965)"
BROOKSIDER BAR AND GRILL,RESTAURANT-BAR,"6330 BROOKSIDE PLAZA
64113
(39.013407320000454, -94.59073066799965)"
BROWNES MARKET & DELI,RESTAURANT-BAR,"3300 PENNSYLVANIA AVENUE
64111
(39.067553776000466, -94.59250110999966)"
BUCA DI BEPPO,RESTAURANT-BAR,"310 47TH STREET
64112
(39.04231543600048, -94.59053885099968)"
BUFFALO WILD WINGS GRILL & BAR,RESTAURANT-BAR,"9207 M-152 HIGHWAY
64157
(39.27803219200047, -94.47222615699968)"
BUFFALO WILD WINGS GRILL & BAR.,RESTAURANT-BAR,"8441 PRAIRIE VIEW ROAD
64153
(39.24776845400049, -94.66109096199966)"
BULLDOG BAR & GRILLE,RESTAURANT-BAR,"1715 MAIN STREET
64108
(39.09302114100046, -94.58352087099968)"
BURRITO JOES,RESTAURANT-BAR,"1403 05 W 39TH STREET
64111
(39.05654114000049, -94.5862568989997)"
CAFE AL DENTE,RESTAURANT-BAR,"412 D DELAWARE
64105
(39.10363236100045, -94.58633903699968)"
"CAFE AT BRIARCLIFF VILLAGE, THE",RESTAURANT-BAR,"4125 MULBERRY DRIVE
64116
(39.16886090900044, -94.5985109129997)"
CAFE EUROPA,RESTAURANT-BAR,"321 25 E 55TH STREET
64113
(39.02761249400049, -94.58672449499966)"
CAFE GRATITUDE,RESTAURANT-BAR,"333 SOUTHWEST BLVD
64108
(39.08790039700045, -94.58875108099966)"
